input_name,species,lat,lon,year,country
Dracaena trifasciata,Dracaena trifasciata,28.935532,79.751724,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,7.448624,125.808733,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,9.30048,-75.379608,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,11.068349,76.929988,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,27.578419,95.54998,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,11.042034,76.928657,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,6.637685,-73.223154,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,7.449059,125.784729,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,27.166742,88.361933,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-19.942842,-40.58897,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,12.88321,80.2482,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-24.60225,30.165128,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,6.497088,124.841195,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,4.811623,-52.347254,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,-22.564143,-43.309206,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,3.753172,102.547861,2025.0,Malaysia
Dracaena trifasciata,Dracaena trifasciata,16.988522,-89.91787,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,6.948054,126.226595,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,7.440667,125.826598,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-29.63404,30.947474,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,27.595434,95.559314,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,22.367094,114.189119,2025.0,Hong Kong
Dracaena trifasciata,Dracaena trifasciata,-6.801297,108.615748,2025.0,Indonesia
Dracaena trifasciata,Dracaena trifasciata,-12.264608,-38.97435,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,17.348057,78.448357,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-12.204301,-38.971746,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,23.043187,-109.703382,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,7.427075,125.818658,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,11.05692,77.017462,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-29.63404,30.947474,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-22.916088,-42.819192,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-29.628292,30.986837,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-25.392134,-49.250042,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-21.983232,-47.88318,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-25.38843,-49.243652,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,16.988513,-89.9179,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,7.426394,125.824267,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,29.82511,-81.270766,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,11.065192,76.936567,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,6.944082,126.228561,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-20.90178,34.289373,2025.0,Mozambique
Dracaena trifasciata,Dracaena trifasciata,7.440612,125.826378,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,19.619559,-103.423229,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,-16.782482,145.698284,2025.0,Australia
Dracaena trifasciata,Dracaena trifasciata,-29.628182,30.986585,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,27.578642,95.549996,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-22.642454,-43.932608,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,3.150179,-75.057944,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,-25.963812,32.580273,2025.0,Mozambique
Dracaena trifasciata,Dracaena trifasciata,-29.628038,30.986692,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,7.479937,125.800722,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-21.983337,-47.883534,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,9.874932,-84.339714,2025.0,Costa Rica
Dracaena trifasciata,Dracaena trifasciata,18.936027,72.838393,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,31.185387,-114.931695,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,11.041994,76.928659,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,14.598384,-90.45617,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,14.526445,-90.497246,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,20.028864,-98.325964,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,3.793933,101.8546,2025.0,Malaysia
Dracaena trifasciata,Dracaena trifasciata,17.365192,78.394158,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,7.486245,125.838703,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,-17.880782,36.887768,2025.0,Mozambique
Dracaena trifasciata,Dracaena trifasciata,-29.627888,30.986972,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,7.3687,125.806373,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,16.710656,81.095243,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-22.642454,-43.932608,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-19.934063,-40.604692,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-31.084913,30.187483,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,17.721013,78.627028,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,6.962673,126.213257,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,17.029675,103.067114,2025.0,Thailand
Dracaena trifasciata,Dracaena trifasciata,27.963301,-82.3107,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,-25.421742,-49.334835,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,11.054827,76.941512,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,18.732798,-99.243828,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,7.476627,125.800886,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,11.017222,76.931645,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,7.432427,125.804095,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,11.587204,76.101174,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,20.610144,-103.77541,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,-27.954218,32.33117,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,-21.788162,-46.561613,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-6.732718,110.725656,2025.0,Indonesia
Dracaena trifasciata,Dracaena trifasciata,7.007529,100.499701,2025.0,Thailand
Dracaena trifasciata,Dracaena trifasciata,10.332627,-75.406058,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,-31.084717,30.187169,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,16.891567,81.140187,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,7.415194,125.829281,2025.0,Philippines
Dracaena trifasciata,Dracaena trifasciata,15.148364,74.142658,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,9.348617,-83.962805,2025.0,Costa Rica
Dracaena trifasciata,Dracaena trifasciata,22.049032,-159.339307,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,-25.667429,27.170774,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,4.950768,-52.300976,2025.0,French Guiana
Dracaena trifasciata,Dracaena trifasciata,23.056604,-110.095829,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,20.880025,-156.546403,2025.0,United States of America
Dracaena trifasciata,Dracaena trifasciata,-22.437231,-47.583915,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-0.717956,-77.344037,2025.0,Ecuador
Dracaena trifasciata,Dracaena trifasciata,24.561542,120.780875,2025.0,Chinese Taipei
Dracaena trifasciata,Dracaena trifasciata,-23.866708,-52.318275,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,18.566892,-99.620092,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,-27.90738,153.026161,2025.0,Australia
Dracaena trifasciata,Dracaena trifasciata,16.495368,-61.467509,2025.0,Guadeloupe
Dracaena trifasciata,Dracaena trifasciata,-7.409633,-35.108769,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,-27.822863,153.044592,2025.0,Australia
Dracaena trifasciata,Dracaena trifasciata,10.636232,-74.930407,2025.0,Colombia
Dracaena trifasciata,Dracaena trifasciata,27.874528,84.616562,2025.0,Nepal
Dracaena trifasciata,Dracaena trifasciata,-22.370682,-47.568242,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,20.234282,-98.847873,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,12.358124,109.276673,2025.0,Viet Nam
Dracaena trifasciata,Dracaena trifasciata,14.675987,-90.502217,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,5.532746,73.506271,2025.0,Maldives
Dracaena trifasciata,Dracaena trifasciata,12.021514,-61.674624,2025.0,Grenada
Dracaena trifasciata,Dracaena trifasciata,14.588949,-90.560505,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,14.603797,-90.489337,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,14.649043,-90.549267,2025.0,Guatemala
Dracaena trifasciata,Dracaena trifasciata,17.091811,-84.86188,2025.0,Honduras
Dracaena trifasciata,Dracaena trifasciata,-22.457336,-47.532696,2025.0,Brazil
Dracaena trifasciata,Dracaena trifasciata,8.709141,-83.183747,2025.0,Costa Rica
Dracaena trifasciata,Dracaena trifasciata,22.059722,101.008483,2025.0,China
Dracaena trifasciata,Dracaena trifasciata,26.049827,76.157232,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,26.049883,76.15785,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,20.621585,-88.409456,2025.0,Mexico
Dracaena trifasciata,Dracaena trifasciata,26.050317,76.158332,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,5.532394,73.507051,2025.0,Maldives
Dracaena trifasciata,Dracaena trifasciata,12.019523,-61.673694,2025.0,Grenada
Dracaena trifasciata,Dracaena trifasciata,30.374512,78.073792,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,26.049998,76.158044,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,-27.257233,32.531661,2025.0,South Africa
Dracaena trifasciata,Dracaena trifasciata,26.05057,76.157988,2025.0,India
Dracaena trifasciata,Dracaena trifasciata,10.510813,103.564628,2025.0,Cambodia
